Season,Guest star,Role(s),No.,Prod. code,Episode title
25,Max von Sydow,Klaus Ziegler,545–2515,SABF10,"""The War of Art"""
25,Andrés Cantor,Himself,546–2516,SABF11,"""You Don't Have to Live Like a Referee"""
25,Joey Vieira,Soccer Player,546–2516,SABF11,"""You Don't Have to Live Like a Referee"""
25,Zach Galifianakis,Lucas Bortner,547–2517,SABF12,"""Luca$"""
25,Amy Poehler,Jenda,548–2518,SABF13,"""Days of Future Future"""
25,Tavi Gevinson,Jenny,549–2519,SABF14,"""What to Expect When Bart's Expecting"""
25,Joe Mantegna,Fat Tony,549–2519,SABF14,"""What to Expect When Bart's Expecting"""
25,Carl Kasell,Himself,551–2521,SABF15,"""Pay Pal"""
25,John Oliver,Booth Wilkes-John,551–2521,SABF15,"""Pay Pal"""
25,Peter Sagal,Himself,551–2521,SABF15,"""Pay Pal"""
25,Glenn Close,Mona Simpson,552–2522,SABF18,"""The Yellow Badge of Cowardge"""
25,Edwin Moses,Himself,552–2522,SABF18,"""The Yellow Badge of Cowardge"""
26,Kelsey Grammer,Sideshow Bob,553–2601,SABF20,"""Clown in the Dumps"""
26,Don Hertzfeldt,Couch gag Simpsons,553–2601,SABF20,"""Clown in the Dumps"""
26,Maurice LaMarche,Clive Meriwether::Neil Simon::Rodney Dangerfield,553–2601,SABF20,"""Clown in the Dumps"""
26,Jackie Mason,Rabbi Hyman Krustofsky,553–2601,SABF20,"""Clown in the Dumps"""
26,David Hyde Pierce,Himself,553–2601,SABF20,"""Clown in the Dumps"""
26,Jeff Ross,Himself,553–2601,SABF20,"""Clown in the Dumps"""
26,Sarah Silverman,Herself,553–2601,SABF20,"""Clown in the Dumps"""
26,Nick Offerman,Captain Bowditch,554–2602,SABF17,"""The Wreck of the Relationship"""
26,Marc Wilmore,Narrator,554–2602,SABF17,"""The Wreck of the Relationship"""
26,John Ratzenberger,CGI Homer Simpson,556–2604,SABF21,"""Treehouse of Horror XXV"""
26,Jane Fonda,Maxine Lombard,557–2605,SABF22,"""Opposites A-Frack"""
26,Robert Siegel,Himself,557–2605,SABF22,"""Opposites A-Frack"""
26,John DiMaggio,Bender,558–2606,SABF16,"""Simpsorama"""
26,David Herman,Scruffy,558–2606,SABF16,"""Simpsorama"""
26,Maurice LaMarche,Morbo::Hedonismbot::Lrrr,558–2606,SABF16,"""Simpsorama"""
26,Phil LaMarr,Hermes Conrad,558–2606,SABF16,"""Simpsorama"""
26,Katey Sagal,Turanga Leela,558–2606,SABF16,"""Simpsorama"""
26,Sally Stevens,"Sings ""I Will Wait For You"" and ""A Natural Woman""",558–2606,SABF16,"""Simpsorama"""
26,Lauren Tom,Amy Wong,558–2606,SABF16,"""Simpsorama"""
26,Frank Welker,Nibbler,558–2606,SABF16,"""Simpsorama"""
26,Billy West,Philip J. Fry::Professor Farnsworth::Dr. Zoidberg,558–2606,SABF16,"""Simpsorama"""
26,Willem Dafoe,Jack Lassen,559–2607,TABF01,"""Blazed and Confused"""
26,Kelsey Grammer,Sideshow Bob,559–2607,TABF01,"""Blazed and Confused"""
26,David Silverman,Himself,559–2607,TABF01,"""Blazed and Confused"""
26,Will Forte,King Toot,560–2608,TABF02,"""Covercraft"""
26,Sammy Hagar,Himself,560–2608,TABF02,"""Covercraft"""
26,Heavy Young Heathens,"performing ""Hopin' for a Dream""",560–2608,TABF02,"""Covercraft"""
26,Matthew Sweet,Nick Delacourt,560–2608,TABF02,"""Covercraft"""
26,Gene Lockhart (archival),Henry X. Harper,561–2609,TABF03,"""I Won't Be Home for Christmas"""
26,Stacy Keach,Don Bookner,563–2611,TABF05,"""Bart's New Friend"""
26,Elon Musk,Himself,564–2612,TABF04,"""The Musk Who Fell To Earth"""
26,Kevin Michael Richardson,Albert,565–2613,TABF06,"""Walking Big & Tall"""
26,Pharrell Williams,Himself,565–2613,TABF06,"""Walking Big & Tall"""
26,Christopher Lloyd,Jim Ignatowski,566–2614,TABF07,"""My Fare Lady"""
26,Rich Sommer,Young Man,566–2614,TABF07,"""My Fare Lady"""
26,Richard Branson,Himself,567–2615,TABF08,"""The Princess Guide"""
26,Yaya DaCosta,Princess Kemi,567–2615,TABF08,"""The Princess Guide"""
26,Jon Lovitz,Enrico Irritazio,567–2615,TABF08,"""The Princess Guide"""
26,Kevin Michael Richardson,The Nigerian King,567–2615,TABF08,"""The Princess Guide"""
26,Nathan Fielder,Doug Blattner,568–2616,TABF09,"""Sky Police"""
26,Cat Deeley,Herself,569–2617,TABF10,"""Waiting for Duffman"""
26,R. Lee Ermey,Colonel Leslie Hapablap,569–2617,TABF10,"""Waiting for Duffman"""
26,Stacy Keach,Howard K. Duff VIII,569–2617,TABF10,"""Waiting for Duffman"""
26,Glenn Close,Mona Simpson,572–2620,TABF13,"""Let's Go Fly a Coot"""
26,Carice van Houten,Annika Van Houten,572–2620,TABF13,"""Let's Go Fly a Coot"""
26,Albert Brooks,Dr. Raufbold,573–2621,TABF15,"""Bull-E"""
26,Joe Mantegna,Fat Tony,573–2621,TABF15,"""Bull-E"""
26,Johnny Mathis,Himself,573–2621,TABF15,"""Bull-E"""
26,Justin Roiland,Rick Sanchez and Morty Smith,574–2622,TABF16,"""Mathlete's Feat"""
27,Adam Driver,Adam Sackler,575–2701,TABF14,"""Every Man's Dream"""
27,Lena Dunham,Candace::Hannah Helene Horvath,575–2701,TABF14,"""Every Man's Dream"""
27,Laura Ingraham,Dr. Zilowitz,575–2701,TABF14,"""Every Man's Dream"""
27,Jemima Kirke,Candace's Friend #3,575–2701,TABF14,"""Every Man's Dream"""
27,Zosia Mamet,Candace's Friend #2,575–2701,TABF14,"""Every Man's Dream"""
27,Allison Williams,Candace's Friend #1,575–2701,TABF14,"""Every Man's Dream"""
27,Alton Brown,Himself,576–2702,TABF17,"""'Cue Detective"""
27,Rex Harrison (archival),Doctor John Dolittle,576–2702,TABF17,"""'Cue Detective"""
27,Bobby Moynihan,Tyler Boom,576–2702,TABF17,"""'Cue Detective"""
27,Anthony Newley (archival),Matthew Mugg,576–2702,TABF17,"""'Cue Detective"""
27,Edward James Olmos,Pit Master,576–2702,TABF17,"""'Cue Detective"""
27,Ben Schwartz,Clerk,576–2702,TABF17,"""'Cue Detective"""
27,Jon Lovitz,Cigarette,577–2703,TABF19,"""Puffless"""
27,Yo-Yo Ma,Himself,577–2703,TABF19,"""Puffless"""
27,Blake Anderson,Dickie,578–2704,TABF22,"""Halloween of Horror"""
27,Nick Kroll,Lem,578–2704,TABF22,"""Halloween of Horror"""
27,Renee Ridgeley,Krustyland Security Guard,578–2704,TABF22,"""Halloween of Horror"""
27,Kelsey Grammer,Sideshow Bob,579–2705,TABF18,"""Treehouse of Horror XXVI"""
27,Chris Wedge,Scrat,579–2705,TABF18,"""Treehouse of Horror XXVI"""
27,Kristen Bell,Harper Jambowski,580–2706,TABF21,"""Friend With Benefit"""
27,David Copperfield,Himself,580–2706,TABF21,"""Friend With Benefit"""
27,Stephen Merchant,CONRAD,584–2710,VABF03,"""The Girl Code"""
27,Kaitlin Olson,Quinn Hopper,584–2710,VABF03,"""The Girl Code"""
27,Sofía Vergara,Ms. Carol Berrera,585–2711,VABF04,"""Teenage Mutant Milk-Caused Hurdles"""
27,Utkarsh Ambudkar,"Jamshed ""Jay"" Nahasapeemapetilon",586–2712,VABF05,"""Much Apu About Something"""
27,Glenn Close,Mona Simpson,587–2713,VABF07,"""Love Is in the N2-O2-Ar-CO2-Ne-He-CH4"""
27,Bob Boilen,Himself,588–2714,VABF06,"""Gal of Constant Sorrow"""
27,Kelsey Grammer,Sideshow Bob,588–2714,VABF06,"""Gal of Constant Sorrow"""
27,Kate McKinnon,Hettie Mae Boggs,588–2714,VABF06,"""Gal of Constant Sorrow"""
27,Natalie Maines,Hettie Mae Boggs' singing voice,588–2714,VABF06,"""Gal of Constant Sorrow"""
27,Michael York,Dr. Lionel Budgie,589–2715,VABF08,"""Lisa the Veterinarian"""
27,Brian J. Kaufman,Exploration Incorporated Candidate,590–2716,VABF09,"""The Marge-ian Chronicles"""
27,Tom Scharpling,Paul,590–2716,VABF09,"""The Marge-ian Chronicles"""
27,Jon Wurster,Barry,590–2716,VABF09,"""The Marge-ian Chronicles"""
27,George Takei,Himself,591–2717,VABF10,"""The Burns Cage"""
27,Andrew Rannells,Himself,592–2718,VABF11,"""How Lisa Got Her Marge Back"""
27,Jay Leno,Himself,594–2720,VABF14,"""To Courier with Love"""
27,Kevin Michael Richardson,Prison Guard,596–2722,VABF15,"""Orange Is the New Yellow"""
28,Amy Schumer,Daphne Burns,597–2801,VABF20,"""Monty Burns' Fleeing Circus"""
28,Pendleton Ward,"Sings ""Simpsons Time"" (parody of Adventure Time theme song)",597–2801,VABF20,"""Monty Burns' Fleeing Circus"""
28,Allison Janney,Julia,598–2802,VABF18,"""Friends and Family"""
28,Bill Burr,Townie::Man in Tunnel::Cart-Warning Man,599–2803,VABF17,"""The Town"""
28,Michael Chiklis,Handsome Quarterback,599–2803,VABF17,"""The Town"""
28,Rachel Dratch,Bostonian Doctor,599–2803,VABF17,"""The Town"""
28,Doris Kearns Goodwin,Herself,599–2803,VABF17,"""The Town"""
28,Dana Gould,Murphy,599–2803,VABF17,"""The Town"""
28,Mike Mitchell,Jay,599–2803,VABF17,"""The Town"""
28,Jason Nash,Southie Criminals ::Southie Philanthropists,599–2803,VABF17,"""The Town"""
28,Drew Carey,Himself,600–2804,VABF16,"""Treehouse of Horror XXVII"""
28,Donald Fagen,Himself,600–2804,VABF16,"""Treehouse of Horror XXVII"""
28,Kelsey Grammer,Sideshow Bob,600–2804,VABF16,"""Treehouse of Horror XXVII"""
28,Maurice LaMarche,Hedonismbot,600–2804,VABF16,"""Treehouse of Horror XXVII"""
28,Judith Owen,"Sings ""600"" (parody of the song Goldfinger)",600–2804,VABF16,"""Treehouse of Horror XXVII"""
28,Sarah Silverman,Rachel Cohen,600–2804,VABF16,"""Treehouse of Horror XXVII"""
28,Dan Rather,Himself,601–2805,VABF21,"""Trust But Clarify"""
28,Stacy Keach,Howard K. Duff VIII,603–2807,VABF19,"""Havana Wild Weekend"""
28,Deb Lacusta,Isabella,603–2807,VABF19,"""Havana Wild Weekend"""
28,Matt Leinart,Himself,604–2808,WABF01,"""Dad Behavior"""
28,Wayne Gretzky,Himself,606–2810,WABF02,"""The Nightmare After Krustmas"""
28,Theo Jansen,Himself,606–2810,WABF02,"""The Nightmare After Krustmas"""
28,Natasha Lyonne,Sophie,606–2810,WABF02,"""The Nightmare After Krustmas"""
28,Jackie Mason,Rabbi Hyman Krustofsky,606–2810,WABF02,"""The Nightmare After Krustmas"""
28,Joyce Carol Oates,Herself,607–2811,WABF06,"""Pork and Burns"""
28,Michael York,Dr. Lionel Budgie,607–2811,WABF06,"""Pork and Burns"""
28,Charles Barkley,Himself,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Jim Beanz,performing End-Titles music,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,V. Bozeman,Additional vocals,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Charlean Carmon,Additional vocals,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Common,Himself,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Snoop Dogg,Himself,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Taraji P. Henson,Praline,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Keegan-Michael Key,Jazzy James,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Phil LaMarr,Auctioneer::Informed Party Guest,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Dawnn Lewis,Miata::Female Party Guest,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,RZA,Himself,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Sally Stevens,Additional vocals,608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Destiny Torres,"""CEO of Obsidian"" Female Vocalist::Additional vocals",608–2812::609–2813,WABF04::WABF05,"""The Great Phatsby"""
28,Glenn Close,Mona Simpson,610–2814,WABF07,"""Fatzcarraldo"""
28,Magnus Carlsen,Himself,611–2815,WABF08,"""The Cad and the Hat"""
28,Seth Green,Robot Chicken Nerd,611–2815,WABF08,"""The Cad and the Hat"""
28,Patton Oswalt,Bart's Guilt,611–2815,WABF08,"""The Cad and the Hat"""
28,Lizzy Caplan,Virginia Johnson,612–2816,WABF09,"""Kamp Krustier"""
28,Michael Sheen,William Masters,612–2816,WABF09,"""Kamp Krustier"""
28,Stephen Curry,Himself,613–2817,WABF10,"""22 for 30"""
28,Earl Mann,Narrator (Eddie Muntz),613–2817,WABF10,"""22 for 30"""
28,Joe Mantegna,Fat Tony,613–2817,WABF10,"""22 for 30"""
28,Vanessa Bayer,Dr. Clarity Hoffman-Roth,614–2818,WABF11,"""A Father's Watch"""
28,Brian Posehn,Dumlee,614–2818,WABF11,"""A Father's Watch"""
28,Rob Riggle,Dr. Fenton Pooltoy,614–2818,WABF11,"""A Father's Watch"""
28,Adam Silver,Himself,614–2818,WABF11,"""A Father's Watch"""
28,Jason Alexander,Bourbon Verlander,615–2819,WABF12,"""The Caper Chase"""
28,Ken Jennings,Himself,615–2819,WABF12,"""The Caper Chase"""
28,Stan Lee,Himself,615–2819,WABF12,"""The Caper Chase"""
28,Robert McKee,Himself,615–2819,WABF12,"""The Caper Chase"""
28,Suze Orman,Herself,615–2819,WABF12,"""The Caper Chase"""
28,Neil deGrasse Tyson,Himself,615–2819,WABF12,"""The Caper Chase"""
28,Valerie Harper,Ma-Ma,616–2820,WABF13,"""Looking for Mr. Goodbart"""
28,Kipp Lennon,"Sings ""Small Bang Hypothesis"" (parody of The Big Bang Theory theme song)",616–2820,WABF13,"""Looking for Mr. Goodbart"""
28,Jennifer Saunders,Phoebe Pratt,616–2820,WABF13,"""Looking for Mr. Goodbart"""
28,Valerie Harper,Mrs. Butterworth,617–2821,WABF14,"""Moho House"""
28,Michael York,Nigel,617–2821,WABF14,"""Moho House"""
28,Michael York,Dr. Lionel Budgie,618–2822,WABF15,"""Dogtown"""
29,Billy Boyd,"Sings ""The Perfect Tale"" (parody of the song The Last Goodbye)",619–2901,WABF17,"""The Serfsons"""
29,Nikolaj Coster-Waldau,Markery,619–2901,WABF17,"""The Serfsons"""
29,Alison Bechdel,Herself,620–2902,WABF22,"""Springfield Splendor"""
29,Rachel Bloom,Annette,620–2902,WABF22,"""Springfield Splendor"""
29,Roz Chast,Herself,620–2902,WABF22,"""Springfield Splendor"""
29,Dan Harmon,Himself,620–2902,WABF22,"""Springfield Splendor"""
29,Kipp Lennon,"Sings ""Collaboration"" (parody of the song Infatuation)",620–2902,WABF22,"""Springfield Splendor"""
29,Marjane Satrapi,Herself,620–2902,WABF22,"""Springfield Splendor"""
29,Martin Short,Guthrie Frenel,620–2902,WABF22,"""Springfield Splendor"""
29,Nick Fascitelli,Whistler,621–2903,WABF16,"""Whistler's Father"""
29,Valerie Harper,Backstage Mother #2,621–2903,WABF16,"""Whistler's Father"""
29,Joe Mantegna,Fat Tony,621–2903,WABF16,"""Whistler's Father"""
29,Mario Batali,Himself,622–2904,WABF18,"""Treehouse of Horror XXVIII"""
29,Ben Daniels,Irish Priest,622–2904,WABF18,"""Treehouse of Horror XXVIII"""
29,William Friedkin,Dr. Kenneth Humphries,622–2904,WABF18,"""Treehouse of Horror XXVIII"""
29,Neil Gaiman,Snowball II,622–2904,WABF18,"""Treehouse of Horror XXVIII"""
29,Carolyn Omine,Focus Group Woman,624–2906,WABF20,"""The Old Blue Mayor She Ain't What She Used to Be"""
29,Kat Dennings,Valerie,626–2908,XABF01,"""Mr. Lisa's Opus"""
29,Valerie Harper,Ms. Myles,626–2908,XABF01,"""Mr. Lisa's Opus"""
29,Norman Lear,Himself,626–2908,XABF01,"""Mr. Lisa's Opus"""
29,Kipp Lennon,Leon Kompowsky,626–2908,XABF01,"""Mr. Lisa's Opus"""
29,Jon Lovitz,Artie Ziff,626–2908,XABF01,"""Mr. Lisa's Opus"""
29,Kelsey Grammer,Sideshow Bob,627–2909,XABF02,"""Gone Boy"""
29,Valerie Harper,Nurse,627–2909,XABF02,"""Gone Boy"""
29,John F. Kennedy (archival),Himself,627–2909,XABF02,"""Gone Boy"""
29,Shaquille O'Neal,Himself,627–2909,XABF02,"""Gone Boy"""
29,Ed Sheeran,Brendan Beiderbecke,628–2910,XABF03,"""Haw-Haw Land"""
29,Valerie Harper,Proctor Jennifer Clarkeson,629–2911,XABF04,"""Frink Gets Testy"""
29,Maurice LaMarche,Orson Welles,629–2911,XABF04,"""Frink Gets Testy"""
29,Bill Hader,Manacek,630–2912,XABF05,"""Homer Is Where the Art Isn't"""
29,Cecily Strong,Megan Matheson,630–2912,XABF05,"""Homer Is Where the Art Isn't"""
29,John Baldessari,Himself,631–2913,XABF06,"""3 Scenes Plus a Tag from a Marriage"""
29,Kevin Pollak,Ross::Bagel Man::Professor Thernstrom,631–2913,XABF06,"""3 Scenes Plus a Tag from a Marriage"""
29,J. K. Simmons,J.J. Gruff,631–2913,XABF06,"""3 Scenes Plus a Tag from a Marriage"""
29,Andy Daly,Judge Dowd,632–2914,XABF08,"""Fears of a Clown"""
29,Damian Kulash,Himself,632–2914,XABF08,"""Fears of a Clown"""
29,Dawnn Lewis,Children's Court Bailiff,632–2914,XABF08,"""Fears of a Clown"""
29,Jon Lovitz,Llewellyn Sinclair,632–2914,XABF08,"""Fears of a Clown"""
29,Jackie Mason,Rabbi Hyman Krustofsky,632–2914,XABF08,"""Fears of a Clown"""
29,Tim Nordwind,Himself,632–2914,XABF08,"""Fears of a Clown"""
29,Daniel Radcliffe,Himself,633–2915,XABF07,"""No Good Read Goes Unpunished"""
29,Jimmy O. Yang,Sun Tzu,633–2915,XABF07,"""No Good Read Goes Unpunished"""
29,Ray Liotta,Morty Szyslak,634–2916,XABF10,"""King Leer"""
29,Debi Mazar,Minnie Szyslak,634–2916,XABF10,"""King Leer"""
29,Jonathan Schmock,Johnny Bermuda Salesman,634–2916,XABF10,"""King Leer"""
29,Dawnn Lewis,Co-Pilot::Pat O'Brien's Waitress,635–2917,XABF11,"""Lisa Gets the Blues"""
29,Trombone Shorty,Himself,635–2917,XABF11,"""Lisa Gets the Blues"""
29,Glenn Close,Mona Simpson,636–2918,XABF09,"""Forgive and Regret"""
29,Caitlin Parrott,"Sings ""Four-Legged Angel""",636–2918,XABF09,"""Forgive and Regret"""
29,Michael Dees,"Sings ""My Funny Valentine""",637–2919,XABF12,"""Left Behind"""
29,Marcia Wallace,Edna Krabappel,637–2919,XABF12,"""Left Behind"""
29,Sidse Babett Knudsen,Danish Bar Woman,638–2920,XABF13,"""Throw Grampa from the Dane"""
29,Jackie Mason,Rabbi Hyman Krustofsky,639–2921,XABF14,"""Flanders' Ladder"""
30,Dave Attell,Luke,640–3001,XABF19,"""Bart's Not Dead"""
30,Emily Deschanel,Herself::Herself playing Marge Simpson,640–3001,XABF19,"""Bart's Not Dead"""
30,Gal Gadot,Herself::Herself playing Lisa Simpson,640–3001,XABF19,"""Bart's Not Dead"""
30,Jonathan Groff,Actor playing Bart Simpson,640–3001,XABF19,"""Bart's Not Dead"""
30,Pete Holmes,Matthew,640–3001,XABF19,"""Bart's Not Dead"""
30,Joe Clabby,Curtis,641–3002,XABF15,"""Heartbreak Hotel"""
30,Rhys Darby,Tag Tuckerbag,641–3002,XABF15,"""Heartbreak Hotel"""
30,Renee Ridgeley,Honey,641–3002,XABF15,"""Heartbreak Hotel"""
30,George Segal,Nick,641–3002,XABF15,"""Heartbreak Hotel"
30,H. Jon Benjamin,Bob Belcher,642–3003,XABF17,"""My Way or the Highway to Heaven"""
30,Jon Lovitz,Himself,642–3003,XABF17,"""My Way or the Highway to Heaven"""
30,Dan Mintz,Tina Belcher,642–3003,XABF17,"""My Way or the Highway to Heaven"""
30,Eugene Mirman,Gene Belcher,642–3003,XABF17,"""My Way or the Highway to Heaven"""
30,Ted Moock,"Sings ""Cheek to Cheek""",642–3003,XABF17,"""My Way or the Highway to Heaven"""
30,Tracy Morgan,Himself,642–3003,XABF17,"""My Way or the Highway to Heaven"""
30,John Roberts,Linda Belcher,642–3003,XABF17,"""My Way or the Highway to Heaven"""
30,Kristen Schaal,Louise Belcher,642–3003,XABF17,"""My Way or the Highway to Heaven"""
30,Tracy Morgan,Tow Truck Driver,644–3005,XABF18,"""Baby You Can't Drive My Car"""
30,Jon Lovitz,Hacky::Snitchy the Weasel,645–3006,XABF20,"""From Russia Without Love"""
30,Ksenia Solo,Anastasia Alekova,645–3006,XABF20,"""From Russia Without Love"""
30,Raja / Sutan Amrull,Himself,646–3007,XABF21,"""Werking Mom"""
30,RuPaul,Queen Chante,646–3007,XABF21,"""Werking Mom"""
30,Scott Thompson,Grady,646–3007,XABF21,"""Werking Mom"""
30,Billy Eichner,Billy,647–3008,XABF22,"""Krusty the Clown"""
30,Peter Serafinowicz,Google-Disney CEO,647–3008,XABF22,"""Krusty the Clown"""
30,Phillip Alford (archival),"Jeremy Atticus ""Jem"" Finch",648–3009,YABF01,"""Daddicus Finch"""
30,Mary Badham (archival),"Jean Louise ""Scout"" Finch",648–3009,YABF01,"""Daddicus Finch"""
30,Jon Lovitz,Llewellyn Sinclair::Rabbi,648–3009,YABF01,"""Daddicus Finch"""
30,John Megna (archival),"Charles ""Dill"" Baker Harris",648–3009,YABF01,"""Daddicus Finch"""
30,Gregory Peck (archival),Atticus Finch,648–3009,YABF01,"""Daddicus Finch"""
30,J. K. Simmons,Dr. Jessup,648–3009,YABF01,"""Daddicus Finch"""
30,Jane Lynch,Jeanie,649–3010,YABF02,"""'Tis the 30th Season"""
30,Bryan Batt,Philip Hefflin,650–3011,YABF03,"""Mad About the Toy"""
30,Bill de Blasio,Himself,650–3011,YABF03,"""Mad About the Toy"""
30,Lawrence O'Donnell,Himself,650–3011,YABF03,"""Mad About the Toy"""
30,Terry Gross,Herself,651–3012,YABF04,"""The Girl on the Bus"""
30,Patti LuPone,Cheryl Monroe,651–3012,YABF04,"""The Girl on the Bus"""
30,Ted Sarandos,Himself,652–3013,YABF06,"""I'm Dancing as Fat as I Can"""
30,Marc Maron,Himself,653–3014,YABF05,"""The Clown Stays in the Picture"""
30,Guillermo del Toro,Himself,654–3015,YABF07,"""101 Mitigations"""
30,Wallace Shawn,Wallace the Hernia,655–3016,YABF08,"""I Want You (She's So Heavy)"""
30,Ken Jeong,Korean Monk #1::Korean Monk #2,656–3017,YABF09,"""E My Sports"""
30,Natasha Lyonne,Sophie,656–3017,YABF09,"""E My Sports"""
30,David Turley,"""Conflict of Enemies"" Commentator",656–3017,YABF09,"""E My Sports"""
30,Awkwafina,Carmen,657–3018,YABF10,"""Bart vs. Itchy & Scratchy"""
30,Nicole Byer,Erica,657–3018,YABF10,"""Bart vs. Itchy & Scratchy"""
30,Chelsea Peretti,Piper,657–3018,YABF10,"""Bart vs. Itchy & Scratchy"""
30,Dave Matthews,Lloyd the Bartender,658–3019,YABF11,"""Girl's in the Band"""
30,J. K. Simmons,Victor Kleskow,658–3019,YABF11,"""Girl's in the Band"""
30,Josh Groban,Professor John Frink's singing voice,659–3020,YABF12,"""I'm Just a Girl Who Can't Say D'oh"""
30,John Lithgow,Himself,659–3020,YABF12,"""I'm Just a Girl Who Can't Say D'oh"""
30,Jon Lovitz,Llewellyn Sinclair,659–3020,YABF12,"""I'm Just a Girl Who Can't Say D'oh"""
30,Okilly Dokilly,"Themselves performing ""White Wine Spritzer""",659–3020,YABF12,"""I'm Just a Girl Who Can't Say D'oh"""
30,Awkwafina,Dr. Chang,660–3021,YABF14,"""D'oh Canada"""
30,Judy Blume,Herself,660–3021,YABF14,"""D'oh Canada"""
30,Lucas Meyer,Justin Trudeau,660–3021,YABF14,"""D'oh Canada"""
30,Ken Burns,Himself,661–3022,YABF15,"""Woo-Hoo Dunnit?"""
30,Will Forte,King Toot,661–3022,YABF15,"""Woo-Hoo Dunnit?"""
30,Jackie Mason,Rabbi Hyman Krustofsky,661–3022,YABF15,"""Woo-Hoo Dunnit?"""
30,Liev Schreiber,"""Dateline: Springfield"" Narrator",661–3022,YABF15,"""Woo-Hoo Dunnit?"""
30,Illeana Douglas,New Age Clerk,662–3023,YABF16,"""Crystal Blue-Haired Persuasion"""
30,Werner Herzog,Walter Hotenhoffer,662–3023,YABF16,"""Crystal Blue-Haired Persuasion"""
30,Jenny Slate,Piper Paisley,662–3023,YABF16,"""Crystal Blue-Haired Persuasion"""
